value,type,severity,status,confidence,source,threat_actor,tags,description,first_seen,last_seen,expiry_date,related_incident
198.51.100.100,IP,Critical,Active,95,CISA Advisory,APT29 (Cozy Bear),apt29;c2;tor-exit,Known TOR exit node used by APT29 as command and control infrastructure in targeted phishing campaigns.,2026-04-10T08:00:00Z,2026-05-13T04:00:00Z,2026-08-10,INC-0001
malware-delivery[.]net,Domain,Critical,Active,91,FBI Flash Alert,LockBit Group,lockbit;ransomware;delivery,Malicious domain used to deliver LockBit ransomware payload via fake software update notifications.,2026-04-08T12:00:00Z,2026-05-12T22:00:00Z,2026-08-08,INC-0002
b3a1c2d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,Hash,Critical,Active,98,VirusTotal,LockBit Group,sha256;ransomware;lockbit,SHA-256 hash of LockBit 3.0 ransomware binary confirmed across multiple financial sector victims.,2026-04-07T09:00:00Z,2026-05-11T20:00:00Z,2026-11-07,INC-0002
https://fake-cdn[.]io/payload/installer.exe,URL,High,Active,87,Threat Intel Feed,FIN7,fin7;dropper;downloader,Malicious URL hosting a FIN7 dropper disguised as a legitimate software installer package.,2026-04-06T10:00:00Z,2026-05-10T14:00:00Z,2026-08-06,
attacker@spearphish-bank[.]com,Email,High,Active,82,User Report,Unknown,phishing;bec;executive,Email address used in business email compromise campaign impersonating executive leadership.,2026-05-01T08:00:00Z,2026-05-12T15:00:00Z,2026-07-01,INC-0003
172.16.254.100,IP,High,Under Review,74,Internal SIEM,Unknown,credential-stuffing;scanner,Source IP observed in high-volume credential stuffing attack against the customer banking portal login.,2026-05-10T22:00:00Z,2026-05-13T03:00:00Z,2026-07-10,INC-0003
exfil-staging[.]org,Domain,High,Active,88,NDR Platform,Unknown,exfil;dns-tunneling;c2,Domain observed receiving DNS-tunneled data exfiltration traffic from compromised internal hosts.,2026-05-04T16:00:00Z,2026-05-12T08:00:00Z,2026-08-04,INC-0004
HKCU\Software\Microsoft\Windows\CurrentVersion\Run\svchost64,Registry,Medium,Under Review,79,EDR Alert,Unknown,persistence;registry;edr,Malicious registry run key created by unknown malware for persistence across system reboots.,2026-05-13T02:00:00Z,2026-05-13T02:00:00Z,2026-08-13,INC-0001
d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,Hash,Medium,Active,66,Open Source Intel,Lazarus Group,lazarus;md5;loader,MD5 hash of a loader component associated with Lazarus Group cryptocurrency theft campaigns.,2026-04-28T10:00:00Z,2026-05-02T10:00:00Z,2026-07-28,
203.0.113.75,IP,Low,Inactive,44,Open Source Intel,Unknown,scanner;low-confidence,IP flagged by open source threat feeds as a generic internet scanner. Low confidence attribution.,2026-05-02T12:00:00Z,2026-05-03T14:00:00Z,2026-06-02,
