name,type,criticality,category,ip_address,location,secondary_location,owner,business_unit,status,confidentiality,integrity,availability,description
Core Banking System,Application,Critical,IT,10.0.1.100,DC-Primary,DC-Secondary,Alice Chen,Banking Ops,Active,High,High,High,Primary transaction processing system for all retail banking operations
Customer Web Portal,Application,High,Cloud,10.0.2.50,AWS-US-East,,Digital Team,Digital Team,Active,High,Medium,High,Public-facing web portal for customer self-service and account management
HR Database Server,Database,High,IT,10.0.3.20,DC-Primary,,Henry Park,HR IT,Active,High,High,Medium,Stores sensitive employee records including payroll and personal data
Trading Platform API,Application,Critical,IT,10.0.1.150,DC-Secondary,DC-Primary,Bob Martinez,Trading Ops,Active,High,High,Critical,Real-time API gateway for equity and derivatives trading operations
Enterprise Firewall,Network,Critical,IT,192.168.1.1,DC-Primary,,Network Team,Network Team,Active,Medium,High,High,Perimeter firewall enforcing network segmentation and access control policies
Development Workstations,Workstation,Medium,IT,10.0.5.0/24,HQ Floor 3,,Carol Smith,Engineering,Active,Medium,Medium,Low,Developer machines used for internal software development and testing
Backup Storage Array,Server,High,IT,10.0.4.80,DC-Secondary,,Infra Team,Infra Team,Active,High,High,Medium,Redundant storage array for nightly backups of critical business data
ATM Network Controller,IoT,Critical,OT,172.16.10.1,Operations,,David Lee,ATM Ops,Active,High,High,High,Controls communication and transaction routing across the ATM network
Email Security Gateway,Application,High,Cloud,10.0.6.10,AWS-EU-West,,Eva Wilson,Security,Active,Medium,Medium,High,Inbound and outbound email filtering including anti-phishing and DLP controls
SIEM Platform,Application,High,Cloud,10.0.7.5,AWS-US-East,AWS-EU-West,Frank Zhang,Security,Active,High,High,High,Security information and event management system aggregating logs from all sources
